,name,glass,instructions,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,ingredient_11,ingredient_12,ingredient_13,ingredient_14,ingredient_15,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measuremnt_10,measurement_11,measurement_12,measurement_13,measurement_14,measurement_15,image_url
155,Jewel Of The Nile,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",Gin,Green Chartreuse,Yellow Chartreuse,,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,1/2 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/hx4nrb1504884947.jpg
156,John Collins,Collins glass,Pour all ingredients directly into highball glass filled with ice. Stir gently. Garnish. Add a dash of Angostura bitters.,Bourbon,Lemon juice,Sugar,Club soda,Maraschino cherry,Orange,,,,,,,,,,2 oz ,1 oz ,1 tsp superfine ,3 oz ,1 ,1 ,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/u5yaxl1504350270.jpg
157,Kamikaze,Cocktail glass,"Shake all ingredients together with ice. Strain into glass, garnish and serve.",Vodka,Triple sec,Lime juice,,,,,,,,,,,,,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/xa58bb1504373204.jpg
158,Karsk,Highball glass,"Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality.",Coffee,Grain alcohol,,,,,,,,,,,,,,1 part ,2 parts ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/808mxk1487602471.jpg
159,Kentucky B And B,Brandy snifter,Pour the bourbon and Benedictine into a brandy snifter.,Bourbon,Benedictine,,,,,,,,,,,,,,2 oz ,1/2 oz ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/sqxsxp1478820236.jpg
160,Kentucky Colonel,Cocktail glass,In a shaker half-filled with ice cubes combine the courbon and Benedictine. Shake and strain into a cocktail glass. Garnish with the lemon twist.,Bourbon,Benedictine,Lemon peel,,,,,,,,,,,,,3 oz ,1/2 oz ,1 twist of ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/utqwpu1478820348.jpg
161,Kir,Wine Glass,"Add the crème de cassis to the bottom of the glass, then top up with wine.",Creme de Cassis,Champagne,,,,,,,,,,,,,,1 part ,5 parts ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/apneom1504370294.jpg
162,Kir Royale,Champagne Flute,"Pour Creme de cassis in glass, gently pour champagne on top",Creme de Cassis,Champagne,,,,,,,,,,,,,,1 part ,5 parts ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/yt9i7n1504370388.jpg
163,Kiss me Quick,Highball glass,mix in the glass,Cranberry vodka,Apfelkorn,Schweppes Russchian,Apple juice,Ice,,,,,,,,,,,4 cl ,2 cl ,7 cl ,8 cl ,cubes,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/m7iaxu1504885119.jpg
164,Kiwi Lemon,Highball glass,Mix in highball glass. Stirr. Garnish with slice of kiwi.,Kiwi liqueur,Bitter lemon,Ice,,,,,,,,,,,,,1 part ,2 parts ,cubes,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/tpupvr1478251697.jpg
165,Lady Love Fizz,Cocktail glass,"Shake all ingredients (except carbonated water) with ice and strain into a cocktail glass over two ice cubes. Fill with carbonated water, stir, and serve.",Gin,Light cream,Powdered sugar,Lemon,Egg white,Carbonated water,,,,,,,,,,2 oz ,2 tsp ,1 tsp ,Juice of 1/2,1 ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/20d63k1504885263.jpg
166,Loch Lomond,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine the Scotch, Drambuie, and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist.",Scotch,Drambuie,Dry Vermouth,Lemon peel,,,,,,,,,,,,2 oz ,1/2 oz ,1/2 oz ,1 twist of ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/rpvtpr1468923881.jpg
167,London Town,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",Gin,Maraschino liqueur,Orange bitters,,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,2 dashes ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/rpsrqv1468923507.jpg
168,Lone Tree Cocktail,Cocktail glass,"Stir ingredients with ice, strain into a cocktail glass, and serve.",Sweet Vermouth,Gin,,,,,,,,,,,,,,3/4 oz ,1 1/2 oz ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/tsxpty1468923417.jpg
169,Lone Tree Cooler,Collins glass,"Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice, add gin and vermouth, and stir. Fill with carbonated water and stir again. Add the twist of lemon peel and the orange spiral so that the end dangles over rim of glass.",Carbonated water,Gin,Dry Vermouth,Powdered sugar,Orange spiral,Lemon peel,,,,,,,,,,,,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/wsyqry1479298485.jpg
170,Long Island Iced Tea,Highball glass,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,Vodka,Tequila,Light rum,Gin,Coca-Cola,Lemon peel,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1 dash ,Twist of ,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/wx7hsg1504370510.jpg
171,Long Island Tea,Highball glass,Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.,Vodka,Light rum,Gin,Tequila,Lemon,Coca-Cola,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,Juice of 1/2 ,1 splash ,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/tppn6i1589574695.jpg
172,Long vodka,Highball glass,"Shake a tall glass with ice cubes and Angostura, coating the inside of the glass. Por the vodka onto this, add 1 slice of lime and squeeze juice out of remainder, mix with tonic, stir and voila you have a Long Vodka",Vodka,Lime,Angostura bitters,Tonic water,Ice,,,,,,,,,,,5 cl ,1/2 ,4 dashes ,1 dl Schweppes ,4 ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/9179i01503565212.jpg
173,Lord And Lady,Old-fashioned glass,Pour the rum and Tia Maria into an old-fashioned glass almost filled with ice cubes. Stir well.,Dark rum,Tia maria,,,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/quwrys1468923219.jpg
174,Mai Tai,Collins glass,Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.,Light rum,Orgeat syrup,Triple sec,Sweet and sour,Cherry,,,,,,,,,,,1 oz ,1/2 oz ,1/2 oz ,1 1/2 oz ,1 ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/twyrrp1439907470.jpg
175,Margarita,Cocktail glass,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass.",Tequila,Triple sec,Lime juice,Salt,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,1 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/5noda61589575158.jpg
176,Midnight Cowboy,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Bourbon,Dark rum,Heavy cream,,,,,,,,,,,,,2 oz ,1 oz ,1/2 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/vsxxwy1441208133.jpg
177,Midnight Manx,Old-fashioned glass,"Fill a mixer with ice and add Baileys, Kahlua, Goldshlager, and cream. Shake for 5 seconds and Strain into a double rocks glass filled with ice. Add chilled coffee Stir and enjoy!",Kahlua,Baileys irish cream,Goldschlager,Heavy cream,Coffee,,,,,,,,,,,1 oz ,1 oz ,dash ,2 oz ,2 oz Hazlenut ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/uqqurp1441208231.jpg
178,Mimosa,Champagne flute,"Ensure both ingredients are well chilled, then mix into the glass. Serve cold.",Champagne,Orange juice,,,,,,,,,,,,,,Chilled ,2 oz ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/juhcuu1504370685.jpg
179,Mint Julep,Collins glass,"In a highball glass gently muddle the mint, sugar and water. Fill the glass with cracked ice, add Bourbon and stir well until the glass is well frosted. Garnish with a mint sprig.",Mint,Bourbon,Powdered sugar,Water,,,,,,,,,,,,4 fresh ,2 1/2 oz ,1 tsp ,2 tsp ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/squyyq1439907312.jpg
180,Mississippi Planters Punch,Collins glass,"Shake all ingredients (except carbonated water) with ice and strain into a collins glass over ice cubes. Fill with carbonated water, stir, and serve.",Brandy,Light rum,Bourbon,Lemon,Powdered sugar,Carbonated water,,,,,,,,,,1 oz ,1/2 oz ,1/2 oz ,Juice of 1/2,1 tblsp,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/urpyqs1439907531.jpg
181,Monkey Gland,Cocktail glass,"Shake well over ice cubes in a shaker, strain into a chilled cocktail glass.",Gin,Benedictine,Orange juice,Grenadine,,,,,,,,,,,,2 oz ,1 tsp ,1/2 oz ,1 tsp ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/94psp81504350690.jpg
182,Monkey Wrench,Old-fashioned glass,Pour all of the ingredients into an old-fashioned glass almost filled with ice cubes. Stir well.,Light rum,Grapefruit juice,Bitters,,,,,,,,,,,,,1 1/2 oz ,3 oz ,1 dash ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/bw2noj1582473243.jpg
183,National Aquarium,Collins Glass,Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.,Rum,Vodka,Gin,Blue Curacao,Sour mix,Lemon-lime soda,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,2 oz ,1 splash ,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/dlw0om1503565021.jpg
184,Negroni,Old-fashioned glass,"Stir into glass over ice, garnish and serve.",Gin,Campari,Sweet Vermouth,,,,,,,,,,,,,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/qgdu971561574065.jpg
185,New York Sour,Whiskey sour glass,"Shake blended whiskey, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Float claret on top. Decorate with the half-slice of lemon and the cherry and serve.",Blended whiskey,Lemon,Sugar,Red wine,Lemon,Cherry,,,,,,,,,,2 oz ,Juice of 1/2 ,1 tsp ," (Claret)
",,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/61wgch1504882795.jpg
186,Orange Oasis,Highball glass,"Shake brandy, gin, and orange juice with ice and strain into a highball glass over ice cubes. Fill with ginger ale, stir, and serve.",Cherry brandy,Gin,Orange juice,Ginger ale,,,,,,,,,,,,1/2 oz ,1 1/2 oz ,4 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/su1olx1582473812.jpg
187,Orange Push-up,Hurricane glass,Combine liquors in a blender. Add a half scoop of ice and blend. Garnish with an orange and cherry flag. So good it will melt in your mouth!!!,Spiced rum,Grenadine,Orange juice,Sour mix,,,,,,,,,,,,1.5 oz ,0.5 oz ,4 oz ,1 splash ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/mgf0y91503565781.jpg
188,Oreo Mudslide,Collins Glass,"Blend Vodka, Kahlua, Bailey's, ice-cream and the Oreo well in a blender. Pour into a large frosted glass. Garnish with whipped cream and a cherry.",Vodka,Kahlua,Baileys irish cream,Vanilla ice-cream,Oreo cookie,,,,,,,,,,,1 oz ,1 oz ,1 oz ,2 scoops ,1 ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/tpwwut1468925017.jpg
189,Orgasm,Cocktail glass,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.",Creme de Cacao,Amaretto,Triple sec,Vodka,Light cream,,,,,,,,,,,1/2 oz white ,1/2 oz ,1/2 oz ,1/2 oz ,1 oz ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/vr6kle1504886114.jpg
190,Owen's Grandmother's Revenge,Highball glass,Add ingredients and mix in blender.,Whiskey,Beer,Lemonade,Ice,,,,,,,,,,,,12 oz ,12 oz ,12 oz frozen ,1 cup crushed ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/0wt4uo1503565321.jpg
191,Paradise,Cocktail glass,Shake together over ice. Strain into cocktail glass and serve chilled.,Gin,Apricot Brandy,Orange Juice,,,,,,,,,,,,,7 parts,4 parts,3 parts ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/ejozd71504351060.jpg
192,Pina Colada,Collins glass,"Mix with crushed ice in blender until smooth. Pour into chilled glass, garnish and serve.",Light rum,Coconut milk,Pineapple,,,,,,,,,,,,,3 oz ,3 tblsp ,3 tblsp ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/cpf4j51504371346.jpg
193,Pink Gin,White wine glass,"Pour the bitters into a wine glass. Swirl the glass to coat the inside with the bitters, shake out the excess. Pour the gin into the glass. Do not add ice.",Bitters,Gin,,,,,,,,,,,,,,3 dashes ,2 oz ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/qyr51e1504888618.jpg
194,Pink Lady,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Gin,Grenadine,Light cream,Egg white,,,,,,,,,,,,1 1/2 oz ,1 tsp ,1 tsp ,1 ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/5ia6j21504887829.jpg
195,Pink Panty Pulldowns,Collins Glass,Shake well,Sprite,Pink lemonade,Vodka,,,,,,,,,,,,,1 L ,2 cups ,2 cups ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/squsuy1468926657.jpg
196,Popped cherry,Highball glass,Served over ice in a tall glass with a popped cherry (can add more popped cherries if in the mood)!,Vodka,Cherry liqueur,Cranberry juice,Orange juice,,,,,,,,,,,,2 oz ,2 oz ,4 oz ,4 oz ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/sxvrwv1473344825.jpg
197,Poppy Cocktail,Cocktail glass,"Shake ingredients with ice, strain into a cocktail glass, and serve.",Gin,Creme de Cacao,,,,,,,,,,,,,,1 1/2 oz ,3/4 oz white ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/cslw1w1504389915.jpg
198,Port And Starboard,Pousse cafe glass,"Pour carefully into a pousse-cafe glass, so that creme de menthe floats on grenadine. Serve without mixing.",Grenadine,Green Creme de Menthe,,,,,,,,,,,,,,1 tblsp ,1/2 oz ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/wxvupx1441553911.jpg
199,Port Wine Cocktail,Cocktail glass,"Stir ingredients with ice, strain into a cocktail glass, and serve.",Port,Brandy,,,,,,,,,,,,,,2 1/2 oz ,1/2 tsp ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/qruprq1441553976.jpg
200,Port Wine Flip,Whiskey sour glass,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.,Port,Light cream,Powdered sugar,Egg,Nutmeg,,,,,,,,,,,1 1/2 oz ,2 tsp ,1 tsp ,1 whole ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/vrprxu1441553844.jpg
201,Porto flip,Cocktail glass,"Shake ingredients together in a mixer with ice. Strain into glass, garnish and serve.",Brandy,Port,Egg Yolk,,,,,,,,,,,,,3 parts,9 parts,2 parts,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/64x5j41504351518.jpg
202,Pysch Vitamin Light,Collins Glass,Shake with ice.,Orange juice,Apple juice,Pineapple juice,Ice,,,,,,,,,,,,1 part ,1 part ,1 part ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/xsqsxw1441553580.jpg
203,Quaker's Cocktail,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Light rum,Brandy,Lemon,Raspberry syrup,,,,,,,,,,,,3/4 oz ,3/4 oz ,Juice of 1/4 ,2 tsp ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/yrqppx1478962314.jpg
204,Quarter Deck Cocktail,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",Light rum,Sherry,Lime,,,,,,,,,,,,,1 1/2 ,1/3 oz cream ,Juice of 1/2 ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/qrwvps1478963017.jpg
205,Queen Bee,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Coffee brandy,Lime vodka,Sherry,,,,,,,,,,,,,1 oz ,1 1/2 oz ,1/2 oz cream ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/rvvpxu1478963194.jpg
206,Queen Charlotte,Collins glass,"Pour red wine and grenadine into a collins glass over ice cubes. Fill with lemon-lime soda, stir, and serve.",Red wine,Grenadine,Lemon-lime soda,,,,,,,,,,,,,2 oz ,1 oz ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/vqruyt1478963249.jpg
207,Queen Elizabeth,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",Dry Vermouth,Gin,Benedictine,,,,,,,,,,,,,1/2 oz ,1 1/2 oz ,1 1/2 tsp ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/vpqspv1478963339.jpg
208,Quentin,Cocktail glass,"In a shaker half-filled with ice cubes, combine the rum, Kahlua, and cream. Shake well. Strain into a cocktail glass and garnish with the nutmeg.",Dark rum,Kahlua,Light cream,Nutmeg,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,1 oz ,1/8 tsp grated ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/spxtqp1478963398.jpg
209,Quick-sand,Highball glass,"Simply add the orange juice, quite a quick pour in order to mix the sambucca with the orange juice. The juice MUST have fruit pulp!",Black Sambuca,Orange juice,,,,,,,,,,,,,,25 ml ,Add 250 ml ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/vprxqv1478963533.jpg
210,Radioactive Long Island Iced Tea,Collins Glass,Pour all ingredients over ice in a very tall glass. Sip cautiously.,Rum,Vodka,Tequila,Gin,Triple sec,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,,,,,,,,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,,,,,,,,https://www.thecocktaildb.com/images/media/drink/rdvqmh1503563512.jpg
211,Radler,Highball glass,"Pour beer into large mug, slowly add the 7-up (or Sprite).",Beer,7-Up,,,,,,,,,,,,,,12 oz ,12 oz ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/xz8igv1504888995.jpg
212,Rose,Cocktail glass,"Shake together in a cocktail shaker, then strain into chilled glass. Garnish and serve.",Dry Vermouth,Gin,Apricot brandy,Lemon juice,Grenadine,Powdered sugar,,,,,,,,,,1/2 oz ,1 oz ,1/2 oz ,1/2 tsp ,1 tsp ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/8kxbvq1504371462.jpg
213,Royal Fizz,Collins glass,Shake all ingredients (except cola) with ice and strain into a chilled collins glass. Fill with cola and serve.,Gin,Sweet and sour,Egg,Coca-Cola,,,,,,,,,,,,1 oz ,2 oz ,1 whole ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/wrh44j1504390609.jpg
214,Royal Gin Fizz,Highball glass,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",Gin,Lemon,Powdered sugar,Egg,Carbonated water,,,,,,,,,,,2 oz ,Juice of 1/2 ,1 tsp ,1 whole ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/pe1x1c1504735672.jpg
215,Rum Cobbler,Old-fashioned glass,"In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the rum. Stir well. Garnish with the cherry and the orange and lemon slices.",Sugar,Club soda,Lemon,Dark rum,Maraschino cherry,Orange,,,,,,,,,,1 tsp superfine ,3 oz ,1 ,2 oz ,1 ,1 ,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/5vh9ld1504390683.jpg
216,Rum Cooler,Collins glass,Pour the rum and soda into a collins glass almost filled with ice cubes. Stir well and garnish with the lemon wedge.,Rum,Lemon-lime soda,Lemon,,,,,,,,,,,,,2 oz light or dark ,4 oz ,1 ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/2hgwsb1504888674.jpg
217,Rum Milk Punch,Collins glass,Shake all ingredients (except nutmeg) with ice and strain into a collins glass. Sprinkle nutmeg on top and serve.,Light rum,Milk,Powdered sugar,Nutmeg,,,,,,,,,,,,2 oz ,1 cup ,1 tsp ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/w64lqm1504888810.jpg
218,Rum Old-fashioned,Old-fashioned glass,"Stir powdered sugar, water, and bitters in an old-fashioned glass. When sugar has dissolved add ice cubes and light rum. Add the twist of lime peel, float 151 proof rum on top, and serve.",Light rum,151 proof rum,Powdered sugar,Bitters,Water,Lime peel,,,,,,,,,,1 1/2 oz ,1 tsp ,1/2 tsp ,1 dash ,1 tsp ,Twist of ,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/otn2011504820649.jpg
219,Rum Screwdriver,Highball glass,"Pour rum into a highball glass over ice cubes. Add orange juice, stir, and serve.",Light rum,Orange juice,,,,,,,,,,,,,,1 1/2 oz ,5 oz ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/4c85zq1511782093.jpg
220,Rum Sour,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine the rum, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.",Light rum,Lemon juice,Sugar,Orange,Maraschino cherry,,,,,,,,,,,2 oz ,1 oz ,1/2 tsp superfine ,1 ,1 ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/bylfi21504886323.jpg
221,Rum Toddy,Old-fashioned glass,Dissolve powdered sugar in water in an old-fashioned glass. Add rum and one ice cube and stir. Add the twist of lemon peel and serve.,Rum,Powdered sugar,Lemon peel,Water,,,,,,,,,,,,2 oz light or dark ,2 tsp ,1 twist of ,2 tsp ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/athdk71504886286.jpg
222,Russian Spring Punch,Highball glass,"Pour the ingredients into an highball glass, top with Sparkling wine.",Vodka,Creme de Cassis,Sugar Syrup,Lemon Juice,,,,,,,,,,,,2.5 cl,1.5 cl,1 cl,2.5 cl,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/ctt20s1504373488.jpg
223,Rusty Nail,Old-fashioned glass,Pour the Scotch and Drambuie into an old-fashioned glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,Scotch,Drambuie,Lemon peel,,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,1 twist of ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/yqsvtw1478252982.jpg
224,Salty Dog,Highball glass,"Pour all ingredients over ice cubes in a highball glass. Stir well and serve. (Vodka may be substituted for gin, if preferred.)",Grapefruit juice,Gin,Salt,,,,,,,,,,,,,5 oz ,1 1/2 oz ,1/4 tsp ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/4vfge01504890216.jpg
225,San Francisco,Highball glass,"Take a tall glass and put in a few ice cubes, fill the vodka over it and fill with juice then the ""creme"", to end fill in the grenadine but very carefully at the side of the glass so it will lay down in the bottom. garnish with orange and strawberry.",Vodka,Creme de Banane,Grenadine,Orange juice,,,,,,,,,,,,2 cl ,2 cl ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/szmj2d1504889961.jpg
226,Sazerac,Old-fashioned glass,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish.",Ricard,Sugar,Peychaud bitters,Water,Bourbon,Lemon peel,,,,,,,,,,1 tsp ,1/2 tsp superfine ,2 dashes ,1 tsp ,2 oz ,1 twist of ,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/vvpxwy1439907208.jpg
227,Scooter,Cocktail glass,"Shake all ingredients well with cracked ice, strain into a cocktail glass, and serve.",Brandy,Amaretto,Light cream,,,,,,,,,,,,,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/twuptu1483388307.jpg
228,Scotch Cobbler,Old-fashioned glass,"Pour scotch, brandy, and curacao over ice in an old-fashioned glass. Add the orange slice, top with the mint sprig, and serve.",Scotch,Brandy,Curacao,Orange,Mint,,,,,,,,,,,2 oz ,4 dashes ,4 dashes ,1 slice ,1 ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/1q7coh1504736227.jpg
229,Scotch Sour,Whiskey sour glass,"Shake scotch, juice of lime, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with 1/2 slice lemon, top with the cherry, and serve.",Scotch,Lime,Powdered sugar,Lemon,Cherry,,,,,,,,,,,1 1/2 oz ,Juice of 1/2 ,1/2 tsp ,1/2 slice ,1 ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/0dnb6k1504890436.jpg
230,Screaming Orgasm,Cocktail glass,"Pour first vodka, then Bailey's, then Kahlua into a cocktail glass over crushed ice. Stir. Caution: use only high quality vodka. Cheap vodka can cause the Bailey's to curdle. Test your brand of vodka by mixing 1 Tsp each of vodka and Bailey's first.",Vodka,Baileys irish cream,Kahlua,,,,,,,,,,,,,1 oz ,1 1/2 oz ,1/2 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/x894cs1504388670.jpg
231,Screwdriver,Highball glass,Mix in a highball glass with ice. Garnish and serve.,Vodka,Orange juice,,,,,,,,,,,,,,2 oz ,,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/8xnyke1504352207.jpg
232,Sea breeze,Highball glass,Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.,Vodka,Cranberry juice,Grapefruit juice,,,,,,,,,,,,,1 1/2 oz ,4 oz ,1 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/7rfuks1504371562.jpg
233,Sex on the Beach,Highball glass,Build all ingredients in a highball glass filled with ice. Garnish with orange slice.,Vodka,Peach schnapps,Cranberry juice,Grapefruit juice,,,,,,,,,,,,1 oz ,3/4 oz ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/lijtw51551455287.jpg
234,Shanghai Cocktail,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Light rum,Anisette,Grenadine,Lemon,,,,,,,,,,,,1 oz Jamaican ,1 tsp ,1/2 tsp ,Juice of 1/4 ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/ttyrxr1478820678.jpg
235,Sherry Eggnog,Collins glass,"Shake sherry, powdered sugar, and egg with ice and strain into a collins glass. Fill with milk and stir. Sprinkle nutmeg on top and serve.",Sherry,Powdered sugar,Egg,Milk,Nutmeg,,,,,,,,,,,2 oz cream ,1 tsp ,1 whole ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/xwrpsv1478820541.jpg
